celebrity_name,season,celebrity_age_during_season,celebrity_homecountry/region,celebrity_industry,placement,avg_vote_share,avg_judge_score
Amanda Kloots,30,39,United States,TV Personality,4,0.1146478,8.9375
Jason Lewis,31,51,United States,Actor/Actress,16,0.003161,4.5
Cheryl Ladd,31,71,United States,Actor/Actress,14,0.04371866666666666,5.5
Selma Blair,31,50,United States,Actor/Actress,12,0.0798228,7.8
Joseph Baena,31,24,United States,Actor/Actress,11,0.0593218,6.95
Trevor Donovan,31,39,United States,Actor/Actress,6,0.10064444444444445,7.958333333333333
Daniel Durant,31,32,United States,Actor/Actress,5,0.09968288888888889,8.152777777777779
Wayne Brady,31,50,United States,Comedian,3,0.11843820000000001,9.0625
Sam Champion,31,61,United States,News Anchor,13,0.06119575,6.0
Jessie James Decker,31,34,Italy,Singer/Rapper,10,0.06299416666666667,7.083333333333333
Jordin Sparks,31,32,United States,Singer/Rapper,9,0.06947814285714286,7.857142857142857
Heidi D'Amelio,31,50,United States,Social Media Personality,8,0.094441625,8.21875
Charli D'Amelio,31,18,United States,Social Media Personality,1,0.1294848,9.475
Teresa Giudice,31,50,United States,TV Personality,15,0.028576999999999998,5.375
Vinny Guadagnino,31,34,United States,TV Personality,7,0.078542875,6.734375
Shangela,31,40,United States,TV Personality,4,0.1144056,8.6375
Gabby Windey,31,31,United States,TV Personality,2,0.11936050000000001,9.0625
Jamie Lynn Spears,32,32,United States,Actor/Actress,13,0.07355400000000001,5.1666665
Mira Sorvino,32,55,United States,Actor/Actress,10,0.06679260000000001,6.5
Barry Williams,32,68,United States,Actor/Actress,7,0.101305,6.9322916249999995
Alyson Hannigan,32,49,United States,Actor/Actress,5,0.11466618181818182,7.318181727272727
Xochitl Gomez,32,17,United States,Actor/Actress,1,0.1408619090909091,9.12121209090909
Adrian Peterson,32,38,United States,Athlete,11,0.08400825,5.875
Matt Walsh,32,58,United States,Comedian,14,0.045718,4.0
Tyson Beckford,32,52,United States,Model,12,0.06618366666666667,5.0
Jason Mraz,32,46,United States,Singer/Rapper,2,0.12441690909090909,8.886363636363637
Lele Pons,32,27,Venezuela,Social Media Personality,8,0.08693228571428571,7.684523714285715
Harry Jowsey,32,26,Australia,TV Personality,6,0.118464,6.416666666666667
Mauricio Umansky,32,53,Mexico,TV Personality,9,0.06311633333333334,6.222222166666666
Charity Lawson,32,27,United States,TV Personality,4,0.13196445454545455,8.825757454545455
Ariana Madix,32,38,United States,TV Personality,3,0.13125272727272727,8.840909090909092
Tori Spelling,33,51,United States,Actor/Actress,12,0.062159,6.0
Eric Roberts,33,68,United States,Actor/Actress,10,0.07084033333333334,5.25
Reginald VelJohnson,33,74,United States,Actor/Actress,10,0.067733,5.194444333333333
Chandler Kinney,33,24,United States,Actor/Actress,3,0.13497133333333333,9.069444555555556
Dwight Howard ,33,38,United States,Athlete,6,0.11122742857142856,7.821428428571429
Danny Amendola,33,39,United States,Athlete,5,0.14309666666666668,8.314814777777777
Stephen Nedoroscik,33,26,United States,Athlete,4,0.14719133333333334,8.370370222222222
Ilona Maher,33,28,United States,Athlete,2,0.14895722222222224,8.037037111111111
Anna Delvey,33,33,Russia,Con artist,12,0.040663,5.8333335
Brooks Nader,33,27,United States,Model,9,0.062782,7.07291675
Phaedra Parks,33,51,United States,TV Personality,8,0.0791972,7.266666599999999
Jenn Tran,33,26,United States,TV Personality,7,0.075548,7.874999833333334
Joey Graziadei,33,29,United States,TV Personality,1,0.14796566666666666,8.898148222222224
Corey Feldman,34,54,United States,Actor/Actress,13,0.0573985,4.75
Danielle Fishel,34,44,United States,Actor/Actress,8,0.07245262499999999,7.5729166249999995
Elaine Hendrix,34,55,United States,Actor/Actress,5,0.11632263636363636,8.1856
Baron Davis,34,46,United States,Athlete,13,0.064853,5.5
Jordan Chiles,34,24,United States,Athlete,3,0.13070363636363636,8.588381818181817
Andy Richter,34,59,United States,Comedian,7,0.09802388888888888,6.3981481111111105
Robert Irwin,34,22,Australia,Conservationist,1,0.11652345454545454,8.838381727272727
Hilaria Baldwin,34,41,United States,Entrepreneur,11,0.061743,7.25
Lauren Jauregui,34,29,United States,Singer/Rapper,12,0.06200933333333333,6.5
Scott Hoying,34,34,United States,Singer/Rapper,10,0.0705965,6.638888833333333
Alix Earle,34,24,United States,Social media personality,2,0.13099663636363637,8.791666727272728
Jen Affleck,34,26,United States,TV Personality,9,0.07136442857142856,7.297618999999999
Whitney Leavitt,34,32,United States,TV Personality,6,0.1109957,8.970833299999999
Dylan Efron,34,33,United States,TV Personality,4,0.12614209090909093,8.404036454545455
